2022-06-23 15:18:04 INFO  [springAppName_IS_UNDEFINED,,,] main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f7d4d061] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-23 15:18:09 INFO  [hyp-gateway,,,] main cn.hehe.cloud.gateway.gatewayApplication No active profile set, falling back to default profiles: default
2022-06-23 15:18:15 INFO  [hyp-gateway,,,] main org.springframework.cloud.context.scope.GenericScope BeanFactory id=5000376a-ec43-3b93-92f2-599ae81e523c
2022-06-23 15:18:15 INFO  [hyp-gateway,,,] main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f7d4d061] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-23 15:18:16 INFO  [hyp-gateway,,,] main org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 8301 (http)
2022-06-23 15:18:16 INFO  [hyp-gateway,,,] main org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-8301"]
2022-06-23 15:18:16 INFO  [hyp-gateway,,,] main org.apache.catalina.core.StandardService Starting service [Tomcat]
2022-06-23 15:18:16 INFO  [hyp-gateway,,,] main org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.21]
2022-06-23 15:18:16 INFO  [springAppName_IS_UNDEFINED,,,] main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$795689bb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-06-23 15:18:16 INFO  [hyp-gateway,,,] main org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
2022-06-23 15:18:16 INFO  [hyp-gateway,,,] main org.springframework.web.context.ContextLoader Root WebApplicationContext: initialization completed in 6944 ms
